"Country","XDP.Mean","Development_Level"
"Brunei",5,"Very High Human Development"
"Panama",5,"High Human Development"
"Qatar",5,"Very High Human Development"
"Taiwan",5,"No Development Level Reported"
"Puerto Rico",4.9,"No Development Level Reported"
"Lithuania",4.6,"Very High Human Development"
"Colombia",4.4,"High Human Development"
"Sri Lanka",4.4,"High Human Development"
"Ecuador",4.1,"High Human Development"
"Bulgaria",4.1,"High Human Development"
"Austria",4.1,"Very High Human Development"
"Guam",4,"No Development Level Reported"
"Macao",4,"No Development Level Reported"
"Slovenia",4,"Very High Human Development"
"Uruguay",3.9,"High Human Development"
